entity,entity_long,entity_combined,entity_description,entity_link,entity_link_is_un_org,system_grouping,category,un_principal_organ,un_pillar,is_ceb_member,head_of_entity_title_general,head_of_entity_title_specific,head_of_entity_name,head_of_entity_level,head_of_entity_bio_link,head_of_entity_headshot_link,global_leadership_team_url,on_display,is_primary_entity,foundational_mandate,entity_logo_url,organizational_chart_link,budget_financial_reporting_link,results_framework_link,strategic_plan_link,annual_reports_link,transparency_portal_link,socials_linkedin,socials_twitter,socials_instagram,entity_news_page,entity_branding_page,entity_data_page,entity_logo_page,entity_logo_available,entity_careers_page,entity_wikipedia_page,entity_footnotes,entity_aliases,entity_mandate_registry,entity_custom_mandate_registry,record_id
UN,United Nations,United Nations,none,https://un.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMT,"Analytical Support and Sanctions Monitoring Team pursuant to resolutions 1526 (2004) and 2253 (2015) concerning Islamic State in Iraq and the Levant (Da’esh), Al-Qaida and the Taliban and associated individuals and entities","Analytical Support and Sanctions Monitoring Team pursuant to resolutions 1526 (2004) and 2253 (2015) concerning Islamic State in Iraq and the Levant (Da’esh), Al-Qaida and the Taliban and associated individuals and entities (ASMT)","The Committee is supported by the Analytical Support and Sanctions Monitoring Team pursuant to resolutions 1526 (2004) and 2253 (2015) concerning ISIL (Da'esh), Al-Qaida and the Taliban and associated individuals and entities (hereafter ""the Monitoring Team""), currently comprised of ten experts based in New York. Its current mandate was extended by paragraph 101 of Security Council resolution 2734 (2024) until June 2027.",https://main.un.org/securitycouncil/en/sanctions/1267/monitoring-team/work-and-mandate,1,UN Secretariat,Subsidiary Organs (Sanctions Committee),Security Council (SC),,False,Not applicable,,Not applicable,Not applicable,,,,TRUE,False,,,,No link found,No link found,No link found,https://main.un.org/securitycouncil/en/sanctions/1267/annual-reports,https://open.un.org/un-secretariat-financials/expenses,Not found.,,,Not found,,,,,,Not found,,,,,reclI9faynH4SbaKq
BINUH,United Nations Integrated Office in Haiti,United Nations Integrated Office in Haiti (BINUH),BINUH focusses on the provision of advisory services and good offices in Haiti and aims to help create the conditions needed for sustainable development in.,https://binuh.unmissions.org/,0,Peacekeeping Operations and Political Missions,Subsidiary Organs (Peacekeeping operations and political missions),Security Council (SC),,False,SRSG ,Special Representative of the Secretary-General for Haiti and Head of the United Nations Integrated Office in Haiti (BINUH),Carlos Gabriel Ruiz Massieu Aguirre,ASG,https://www.un.org/sg/en/content/profiles/carlos-massieu-aguirre-0,https://www.un.org/sg/sites/www.un.org.sg/files/smg-portrait/Mr.%20Carlos%20Gabriel%20Ruiz-Massieu%20Aguirre.jpg,https://www.un.org/sg/en/global-leadership/united-nations-integrated-office-in-haiti/all,TRUE,False,,,,,No link found,No link found,https://binuh.unmissions.org/fr/rapports,Not found,Not found.,,,https://binuh.unmissions.org/en/news,,,,True,,https://en.wikipedia.org/wiki/United_Nations_Integrated_Office_in_Haiti,,,,,recSZyZHOHKDbGhJL
CEB,United Nations System Chief Executives Board for Coordination,United Nations System Chief Executives Board for Coordination (CEB),"The CEB is the prime instrument for strengthening the coordination role of the UN inter-governnmental bodies on social, economic annd related matters.",https://unsceb.org/,0,UN Secretariat,Departments and Offices (Other Entities),Secretariat,,False,Director,Director of the CEB Secretariat and Secretary of the CEB,Maaike Jansen,D-2 or equivalent,https://www.un.org/sg/en/content/profiles/maaike-jansen,https://www.un.org/sg/sites/www.un.org.sg/files/smg-portrait/Maaike%20Jansen.JPG,https://www.un.org/sg/en/global-leadership/united-nations-system-chief-executives-board-for-coordination/all,TRUE,True,,,,No link found,No link found,No link found,https://unsceb.org/reports?field_mechanism[94]=94&field_report[12]=12,https://open.un.org/un-secretariat-financials/expenses,Not found.,,,https://unsceb.org/reports,,,,,,https://en.wikipedia.org/wiki/United_Nations_System_Chief_Executives_Board_for_Coordination,,,,,recsFC6T0ZKEMEJQ1
CNMC,United Nations support for the Cameroon-Nigeria Mixed Commission,United Nations support for the Cameroon-Nigeria Mixed Commission (CNMC),The goal of the CNMC is to facilitate the implementation of the 10 October 2002 judgment of the International Court of Justice (ICJ) on the Cameroon-Nigeria boundary dispute.,https://unowas.unmissions.org/cameroon-nigeria-mixed-commission,0,Peacekeeping Operations and Political Missions,Subsidiary Organs (Peacekeeping operations and political missions),Security Council (SC),,False,Not applicable,,Not applicable,Not applicable,,,,TRUE,False,,,,,No link found,No link found,https://unowas.unmissions.org/reports,Not found,Not found.,,,Not found.,,,,,,Not found,,,,,recGudYcdfjhjBzPa
CTBTO,Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization,Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization (CTBTO),The CTBTO Preparatory Commission is mandated to carry out the necessary preparations for the entry into force and effective implementation of the Comprehensive Nuclear-Test-Ban Treaty (CTBT).,https://www.ctbto.org/,0,Related Organizations,Related Organizations,General Assembly (GA),,False,Executive Secretary,,Robert Floyd,USG or equivalent,,,,TRUE,True,,,,,No link found,No link found,https://www.ctbto.org/publications/annual-reports/,Not found,https://www.linkedin.com/company/ctbto/,,,https://www.ctbto.org/press-centre/news,,,,True,,https://en.wikipedia.org/wiki/Comprehensive_Nuclear-Test-Ban_Treaty_Organization_Preparatory_Commission,"- This organization is separate and independent from the United Nations. It has been brought into relationship with the United Nations through a relationship agreement.
",,,,recJyl1TzkSmTWUzM
CTED,Counter-Terrorism Committee Executive Directorate,Counter-Terrorism Committee Executive Directorate (CTED),The CTC works to bolster the ability of United Nations Member States to prevent terrorist acts both within their borders and across regions.,https://www.un.org/sc/ctc/,1,UN Secretariat,Subsidiary Organs (Counter-Terrorism Committee),Security Council (SC),,False,Executive Director,Executive Director of the Counter-Terrorism Committee Executive Directorate,Natalia Gherman,ASG or equivalent,https://www.un.org/securitycouncil/ctc/content/executive-director-cted,https://www.un.org/securitycouncil/ctc/sites/www.un.org.securitycouncil.ctc/files/styles/panopoly_image_full/public/general/srsg_photo_1.jpg,,TRUE,True,,,,No link found,No link found,No link found,https://www.un.org/securitycouncil/ctc/content/work-programmes,https://open.un.org/un-secretariat-financials/expenses,https://www.linkedin.com/company/counter-terrorism-committee-executive-directorate-cted/,,,https://www.un.org/securitycouncil/ctc/content/news-articles,,,,,,https://en.wikipedia.org/wiki/Counter-Terrorism_Committee_Executive_Directorate,,,,,reccTK7EVU2sFp0uA
DA,Development Account,Development Account (DA),,https://da.desa.un.org/,1,UN Secretariat,Departments and Offices,Secretariat,,False,Not applicable,,Not applicable,Not applicable,,,,TRUE,False,,,,No link found,No link found,No link found,https://da.desa.un.org/static-official-public,https://da.desa.un.org/project-view-public,Not found.,,,Not found,,,,,,https://en.wikipedia.org/wiki/United_Nations_Development_Account,,,,,recnioeNrdQNJUasl
DCO,Development Coordination Office ,Development Coordination Office  (DCO),The Resident Coordinator System (RCS) is the backbone around which the United Nations development entities are taking steps to strengthen support to the 2030 Agenda.,https://un-dco.org/,0,UN Secretariat,Departments and Offices,Secretariat,,False,ASG,Assistant Secretary-General for Development Coordination,Oscar Fernández-Taranco,ASG or equivalent,https://www.un.org/sg/en/content/profiles/oscar-fernandez-taranco-0,https://www.un.org/sg/sites/www.un.org.sg/files/smg-portrait/Fernandez-Taranco%2C%20Oscar_0.jpg,https://www.un.org/sg/en/global-leadership/development-coordination-office/all,TRUE,True,,,https://un-dco.org/,,No link found,No link found,https://unsdg.un.org/resources/unsdg-chair-reports,https://unsdg.un.org/SPTF,Not found.,,,https://un-dco.org/news,,,,,,https://en.wikipedia.org/wiki/United_Nations_Development_Coordination_Office,,['RCS'],https://mandates.un.org/entity/RCS,,reckfbfmHFmL1GR5X
DESA,Department of Economic and Social Affairs,Department of Economic and Social Affairs (DESA),"UN DESA helps countries translate their global commitments into national action in the economic, social and environmental spheres.",https://www.un.org/development/desa,1,UN Secretariat,Departments and Offices,Secretariat,,False,USG,Under-Secretary-General for Economic and Social Affairs,Li Junhua,USG or equivalent,https://www.un.org/sg/en/content/profiles/li-junhua,https://www.un.org/sg/sites/www.un.org.sg/files/smg-portrait/Li%20Junhua.jpg,https://www.un.org/sg/en/global-leadership/department-of-economic-and-social-affairs/all,TRUE,True,,,https://www.un.org/development/desa/en/about/organigramme,No link found,No link found,No link found,https://desapublications.un.org/?keywords=un+desa+annual+highlights&sort_by=date&sort_order=DESC,https://open.un.org/un-secretariat-financials/expenses,https://www.linkedin.com/company/united-nations-department-of-economic-and-social-affairs,https://x.com/UNDESA,,https://www.un.org/development/desa/en/news.html,,,,,,https://en.wikipedia.org/wiki/United_Nations_Department_of_Economic_and_Social_Affairs,,,,,recOs5gBofGjKDrcE
